"Interval start","All packets"
0,281488
0.01,371290
0.02,643448
0.03,993142
0.04,1.17605e+06
0.05,1.11003e+06
0.06,849192
0.07,1.17526e+06
0.08,1.10996e+06
0.09,1.24048e+06
0.1,1.04474e+06
0.11,1.07521e+06
0.12,1.07956e+06
0.13,1.24055e+06
0.14,1.17526e+06
0.15,1.09831e+06
0.16,1.05645e+06
0.17,1.17526e+06
0.18,1.10996e+06
0.19,1.17526e+06
0.2,1.24048e+06
0.21,1.04474e+06
0.22,1.17526e+06
0.23,1.17526e+06
0.24,1.17526e+06
0.25,1.17526e+06
0.26,1.10996e+06
0.27,1.10996e+06
0.28,1.17519e+06
0.29,1.17532e+06
0.3,1.10996e+06
0.31,652920
0.32,718212
0.33,1.17526e+06
0.34,1.17526e+06
0.35,1.17526e+06
0.36,979380
0.37,1.17526e+06
0.38,1.10996e+06
0.39,1.17526e+06
0.4,1.17526e+06
0.41,979380
0.42,1.17526e+06
0.43,1.17526e+06
0.44,1.17526e+06
0.45,1.17526e+06
0.46,979380
0.47,1.17526e+06
0.48,1.17526e+06
0.49,1.17526e+06
0.5,1.17526e+06
0.51,1.10996e+06
0.52,1.17526e+06
0.53,1.17526e+06
0.54,1.17526e+06
0.55,1.17526e+06
0.56,1.10996e+06
0.57,1.17526e+06
0.58,1.17526e+06
0.59,1.17526e+06
0.6,1.17526e+06
0.61,1.10996e+06
0.62,1.10996e+06
0.63,1.10996e+06
0.64,1.17526e+06
0.65,1.17526e+06
0.66,1.04467e+06
0.67,848796
0.68,914088
0.69,1.04467e+06
0.7,1.10996e+06
0.71,1.04461e+06
0.72,1.04474e+06
0.73,1.17519e+06
0.74,652260
0.75,652788
0.76,718410
0.77,718146
0.78,914154
0.79,1.04467e+06
0.8,1.1099e+06
0.81,848862
0.82,1.17526e+06
0.83,1.17526e+06
0.84,1.10996e+06
0.85,1.17519e+06
0.86,979446
0.87,1.17526e+06
0.88,1.17526e+06
0.89,1.10996e+06
0.9,1.17526e+06
0.91,1.04467e+06
0.92,1.17526e+06
0.93,1.17526e+06
0.94,1.10996e+06
0.95,1.17526e+06
0.96,1.04467e+06
0.97,1.17526e+06
0.98,1.17526e+06
0.99,1.1101e+06
1,1.17526e+06
1.01,1.04467e+06
1.02,1.17526e+06
1.03,1.17526e+06
1.04,1.10996e+06
1.05,1.04467e+06
1.06,1.04467e+06
1.07,1.17526e+06
1.08,652854
1.09,718278
1.1,1.17526e+06
1.11,979380
1.12,1.17526e+06
1.13,1.17526e+06
1.14,1.10996e+06
1.15,1.17526e+06
1.16,979380
1.17,1.17526e+06
1.18,1.17526e+06
1.19,1.10996e+06
1.2,1.17526e+06
1.21,1.04467e+06
1.22,1.17526e+06
1.23,1.17526e+06
1.24,1.17526e+06
1.25,1.04467e+06
1.26,1.04467e+06
1.27,1.24048e+06
1.28,1.11003e+06
1.29,718212
1.3,979380
1.31,783504
1.32,979380
1.33,1.17526e+06
1.34,914088
1.35,1.17526e+06
1.36,783504
1.37,979380
1.38,979512
1.39,783504
1.4,652920
1.41,718212
1.42,979446
1.43,783570
1.44,848796
1.45,979380
1.46,783504
1.47,979380
1.48,914088
1.49,979380
1.5,979314
1.51,848796
1.52,979380
1.53,848730
1.54,979446
1.55,914022
1.56,979446
