"Interval start","All packets"
0,284256
0.01,433944
0.02,762048
0.03,752976
0.04,725760
0.05,585144
0.06,588168
0.07,763560
0.08,789264
0.09,724248
0.1,624456
0.11,538272
0.12,754488
0.13,784728
0.14,768096
0.15,789264
0.16,573048
0.17,763560
0.18,804384
0.19,746928
0.2,759024
0.21,580608
0.22,775656
0.23,783216
0.24,748440
0.25,789264
0.26,606312
0.27,778680
0.28,802872
0.29,731808
0.3,772632
0.31,567000
0.32,787752
0.33,824040
0.34,802872
0.35,842184
0.36,654696
0.37,579096
0.38,98280
0.39,538272
0.4,813456
0.41,627480
0.42,781704
0.43,762048
0.44,706104
0.45,831600
0.46,632016
0.47,739368
0.48,781704
0.49,749952
0.5,837648
0.51,653184
0.52,808920
0.53,700056
0.54,814968
0.55,786240
0.56,0
0.57,0
0.58,0
0.59,291816
0.6,745416
0.61,759024
0.62,609336
0.63,751464
0.64,582120
0.65,340200
0.66,164808
0.67,370440
0.68,272160
0.69,317520
0.7,335664
0.71,353808
0.72,293328
0.73,362880
0.74,376488
0.75,370440
0.76,359856
0.77,273672
0.78,343224
0.79,309960
0.8,75600
0.81,359856
0.82,263088
0.83,355320
0.84,364392
0.85,378000
0.86,368928
0.87,294840
0.88,381024
0.89,400680
0.9,350784
0.91,391608
0.92,276696
0.93,52920
0.94,139104
0.95,370440
0.96,388584
0.97,269136
0.98,373464
0.99,384048
1,296352
1.01,335664
1.02,264600
1.03,390096
1.04,356832
1.05,387072
1.06,368928
1.07,266112
1.08,388584
1.09,391608
1.1,379512
1.11,362880
1.12,222264
1.13,353808
1.14,379512
1.15,371952
1.16,338688
1.17,285768
1.18,381024
1.19,334152
1.2,350784
1.21,379512
1.22,285768
1.23,373464
1.24,374976
1.25,381024
1.26,170856
1.27,219240
1.28,24192
1.29,269136
1.3,179928
1.31,207144
1.32,30240
1.33,131544
1.34,140616
1.35,204120
1.36,114912
1.37,123984
1.38,125496
1.39,154224
1.4,222264
1.41,211680
1.42,164808
1.43,244944
1.44,235872
1.45,232848
1.46,244944
1.47,158760
1.48,250992
1.49,216216
1.5,235872
1.51,247968
1.52,173880
